date,Apple Inc._unscaled,Apple Inc._monthly,isPartial,scale,Apple Inc.
2019-01-01,100,,,,
2019-01-02,0,,,,
2019-01-03,0,,,,
2019-01-04,21,,,,
2019-01-05,31,,,,
2019-01-06,0,37.0,False,0.37,0.0
2019-01-07,0,37.0,,0.37,0.0
2019-01-08,17,37.0,,0.37,6.29
2019-01-09,0,37.0,,0.37,0.0
2019-01-10,38,37.0,,0.37,14.06
2019-01-11,22,37.0,,0.37,8.14
2019-01-12,0,37.0,,0.37,0.0
2019-01-13,0,37.0,False,0.37,0.0
2019-01-14,0,37.0,,0.37,0.0
2019-01-15,0,37.0,,0.37,0.0
2019-01-16,47,37.0,,0.37,17.39
2019-01-17,0,37.0,,0.37,0.0
2019-01-18,0,37.0,,0.37,0.0
2019-01-19,35,37.0,,0.37,12.95
2019-01-20,0,40.0,False,0.4,0.0
2019-01-21,0,40.0,,0.4,0.0
2019-01-22,26,40.0,,0.4,10.4
2019-01-23,0,40.0,,0.4,0.0
2019-01-24,49,40.0,,0.4,19.6
2019-01-25,17,40.0,,0.4,6.800000000000001
2019-01-26,54,40.0,,0.4,21.6
2019-01-27,0,49.0,False,0.49,0.0
2019-01-28,31,49.0,,0.49,15.19
2019-01-29,47,49.0,,0.49,23.03
2019-01-30,35,49.0,,0.49,17.15
2019-01-31,63,49.0,,0.49,30.87
2019-02-01,46,49.0,,0.49,22.54
2019-02-02,0,49.0,,0.49,0.0
2019-02-03,0,36.0,False,0.36,0.0
2019-02-04,100,36.0,,0.36,36.0
2019-02-05,42,36.0,,0.36,15.12
2019-02-06,0,36.0,,0.36,0.0
2019-02-07,0,36.0,,0.36,0.0
2019-02-08,0,36.0,,0.36,0.0
2019-02-09,0,36.0,,0.36,0.0
2019-02-10,0,36.0,False,0.36,0.0
2019-02-11,89,36.0,,0.36,32.04
2019-02-12,0,36.0,,0.36,0.0
2019-02-13,31,36.0,,0.36,11.16
2019-02-14,51,36.0,,0.36,18.36
2019-02-15,41,36.0,,0.36,14.76
2019-02-16,0,36.0,,0.36,0.0
2019-02-17,0,55.0,False,0.55,0.0
2019-02-18,0,55.0,,0.55,0.0
2019-02-19,27,55.0,,0.55,14.850000000000001
2019-02-20,37,55.0,,0.55,20.35
2019-02-21,62,55.0,,0.55,34.1
2019-02-22,44,55.0,,0.55,24.200000000000003
2019-02-23,0,55.0,,0.55,0.0
2019-02-24,0,15.0,False,0.15,0.0
2019-02-25,27,15.0,,0.15,4.05
2019-02-26,35,15.0,,0.15,5.25
2019-02-27,32,15.0,,0.15,4.8
2019-02-28,0,15.0,,0.15,0.0
2019-03-01,0,15.0,,0.15,0.0
2019-03-02,0,15.0,,0.15,0.0
2019-03-03,0,44.0,False,0.44,0.0
2019-03-04,0,44.0,,0.44,0.0
2019-03-05,38,44.0,,0.44,16.72
2019-03-06,0,44.0,,0.44,0.0
2019-03-07,42,44.0,,0.44,18.48
2019-03-08,26,44.0,,0.44,11.44
2019-03-09,0,44.0,,0.44,0.0
2019-03-10,0,34.0,False,0.34,0.0
2019-03-11,97,34.0,,0.34,32.980000000000004
2019-03-12,41,34.0,,0.34,13.940000000000001
2019-03-13,69,34.0,,0.34,23.46
2019-03-14,34,34.0,,0.34,11.56
2019-03-15,96,34.0,,0.34,32.64
2019-03-16,0,34.0,,0.34,0.0
2019-03-17,0,54.0,False,0.54,0.0
2019-03-18,56,54.0,,0.54,30.240000000000002
2019-03-19,31,54.0,,0.54,16.740000000000002
2019-03-20,71,54.0,,0.54,38.34
2019-03-21,100,54.0,,0.54,54.0
2019-03-22,38,54.0,,0.54,20.520000000000003
2019-03-23,0,54.0,,0.54,0.0
2019-03-24,0,53.0,False,0.53,0.0
2019-03-25,55,53.0,,0.53,29.150000000000002
2019-03-26,32,53.0,,0.53,16.96
2019-03-27,49,53.0,,0.53,25.970000000000002
2019-03-28,37,53.0,,0.53,19.61
2019-03-29,65,53.0,,0.53,34.45
2019-03-30,0,53.0,,0.53,0.0
2019-03-31,43,53.0,False,0.53,22.790000000000003
2019-04-01,54,53.0,,0.53,28.62
2019-04-02,0,53.0,,0.53,0.0
2019-04-03,0,53.0,,0.53,0.0
2019-04-04,33,53.0,,0.53,17.490000000000002
2019-04-05,0,53.0,,0.53,0.0
2019-04-06,0,53.0,,0.53,0.0
2019-04-07,64,32.0,False,0.32,20.48
2019-04-08,92,32.0,,0.32,29.44
2019-04-09,59,32.0,,0.32,18.88
2019-04-10,34,32.0,,0.32,10.88
2019-04-11,43,32.0,,0.32,13.76
2019-04-12,46,32.0,,0.32,14.72
2019-04-13,0,32.0,,0.32,0.0
2019-04-14,100,31.0,False,0.31,31.0
2019-04-15,63,31.0,,0.31,19.53
2019-04-16,0,31.0,,0.31,0.0
2019-04-17,0,31.0,,0.31,0.0
2019-04-18,63,31.0,,0.31,19.53
2019-04-19,0,31.0,,0.31,0.0
2019-04-20,74,31.0,,0.31,22.94
2019-04-21,71,38.0,False,0.38,26.98
2019-04-22,0,38.0,,0.38,0.0
2019-04-23,0,38.0,,0.38,0.0
2019-04-24,88,38.0,,0.38,33.44
2019-04-25,0,38.0,,0.38,0.0
2019-04-26,0,38.0,,0.38,0.0
2019-04-27,73,38.0,,0.38,27.740000000000002
2019-04-28,0,37.0,False,0.37,0.0
2019-04-29,0,37.0,,0.37,0.0
2019-04-30,0,37.0,,0.37,0.0
2019-05-01,37,37.0,,0.37,13.69
2019-05-02,100,37.0,,0.37,37.0
2019-05-03,0,37.0,,0.37,0.0
2019-05-04,41,37.0,,0.37,15.17
2019-05-05,0,25.0,False,0.25,0.0
2019-05-06,0,25.0,,0.25,0.0
2019-05-07,0,25.0,,0.25,0.0
2019-05-08,0,25.0,,0.25,0.0
2019-05-09,44,25.0,,0.25,11.0
2019-05-10,0,25.0,,0.25,0.0
2019-05-11,0,25.0,,0.25,0.0
2019-05-12,0,43.0,False,0.43,0.0
2019-05-13,0,43.0,,0.43,0.0
2019-05-14,51,43.0,,0.43,21.93
2019-05-15,0,43.0,,0.43,0.0
2019-05-16,0,43.0,,0.43,0.0
2019-05-17,43,43.0,,0.43,18.49
2019-05-18,0,43.0,,0.43,0.0
2019-05-19,33,40.0,False,0.4,13.200000000000001
2019-05-20,0,40.0,,0.4,0.0
2019-05-21,61,40.0,,0.4,24.400000000000002
2019-05-22,26,40.0,,0.4,10.4
2019-05-23,0,40.0,,0.4,0.0
2019-05-24,0,40.0,,0.4,0.0
2019-05-25,0,40.0,,0.4,0.0
2019-05-26,64,22.0,False,0.22,14.08
2019-05-27,0,22.0,,0.22,0.0
2019-05-28,0,22.0,,0.22,0.0
2019-05-29,41,22.0,,0.22,9.02
2019-05-30,0,22.0,,0.22,0.0
2019-05-31,0,22.0,,0.22,0.0
2019-06-01,0,22.0,,0.22,0.0
2019-06-02,41,40.0,False,0.4,16.400000000000002
2019-06-03,100,40.0,,0.4,40.0
2019-06-04,31,40.0,,0.4,12.4
2019-06-05,40,40.0,,0.4,16.0
2019-06-06,0,40.0,,0.4,0.0
2019-06-07,53,40.0,,0.4,21.200000000000003
2019-06-08,0,40.0,,0.4,0.0
2019-06-09,0,35.0,False,0.35,0.0
2019-06-10,0,35.0,,0.35,0.0
2019-06-11,0,35.0,,0.35,0.0
2019-06-12,85,35.0,,0.35,29.749999999999996
2019-06-13,0,35.0,,0.35,0.0
2019-06-14,36,35.0,,0.35,12.6
2019-06-15,0,35.0,,0.35,0.0
2019-06-16,90,39.0,False,0.39,35.1
2019-06-17,0,39.0,,0.39,0.0
2019-06-18,34,39.0,,0.39,13.26
2019-06-19,0,39.0,,0.39,0.0
2019-06-20,57,39.0,,0.39,22.23
2019-06-21,0,39.0,,0.39,0.0
2019-06-22,0,39.0,,0.39,0.0
2019-06-23,0,59.0,False,0.59,0.0
2019-06-24,64,59.0,,0.59,37.76
2019-06-25,32,59.0,,0.59,18.88
2019-06-26,61,59.0,,0.59,35.989999999999995
2019-06-27,42,59.0,,0.59,24.779999999999998
2019-06-28,76,59.0,,0.59,44.839999999999996
2019-06-29,62,59.0,,0.59,36.58
2019-06-30,0,29.0,False,0.29,0.0
2019-07-01,33,29.0,,0.29,9.569999999999999
2019-07-02,0,29.0,,0.29,0.0
2019-07-03,0,29.0,,0.29,0.0
2019-07-04,50,29.0,,0.29,14.499999999999998
2019-07-05,0,29.0,,0.29,0.0
2019-07-06,0,29.0,,0.29,0.0
2019-07-07,0,51.0,False,0.51,0.0
2019-07-08,64,51.0,,0.51,32.64
2019-07-09,0,51.0,,0.51,0.0
2019-07-10,28,51.0,,0.51,14.280000000000001
2019-07-11,0,51.0,,0.51,0.0
2019-07-12,61,51.0,,0.51,31.11
2019-07-13,0,51.0,,0.51,0.0
2019-07-14,0,50.0,False,0.5,0.0
2019-07-15,0,50.0,,0.5,0.0
2019-07-16,0,50.0,,0.5,0.0
2019-07-17,46,50.0,,0.5,23.0
2019-07-18,100,50.0,,0.5,50.0
